Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
34,33,3433,34-33,Tinney,1,,0,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,3434,34-34,Tie: Oh/Tracy/Tinney/Wolfe,1,Tie: Oh & Tracy/Tracy & Wolfe,1,1,4,2,3,1,4,1,,1,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,
34,35,3435,34-35,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,36,3436,34-36,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,37,3437,34-37,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,38,3438,34-38,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,39,3439,34-39,Oh,1,,0,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,40,3440,34-40,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,41,3441,34-41,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,42,3442,34-42,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,3501,35-1,Taubenberger,3,Tie: Oh & Taubenberger/Taubenberger & Wolfe,1,1,8,2,5,2,9,1,,2,2,3,,,,,,,1,,,,,,,,,,,,,,,,,1,,
35,2,3502,35-2,Taubenberger,5,O'Brien & Taubenberger,2,1,10,4,4,3,12,2,1,,1,5,1,,,,1,,,,,,,,,,,,,,,,,2,1,,,
35,3,3503,35-3,O'Brien,2,Tie: Oh & O'Brien/Oh & Tinney/Tinney & Taubenberger,1,1,2,3,7,,5,,2,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
35,4,3504,35-4,Tie: Oh/O'Brien/Wolfe/Williams,1,Tracy & O'Brien,1,1,4,1,3,1,9,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,
35,5,3505,35-5,Taubenberger,7,Taubenberger & Wolfe,4,4,14,13,13,4,21,1,1,2,,7,2,1,,,,2,,,,2,,,1,,,1,,,,1,1,,1,4,,
35,6,3506,35-6,Tie: Oh/O'Brien,2,Tinney & O'Brien,1,,6,1,4,1,4,2,2,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,
35,7,3507,35-7,Taubenberger,2,Tie: Oh & Williams/O'Brien & Taubenberger,1,,4,2,7,3,5,1,1,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,
35,8,3508,35-8,Tie: Oh/Taubenberger,1,Tracy & Wolfe,1,3,2,1,2,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
35,9,3509,35-9,Tinney,1,,0,2,1,,1,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10,3510,35-10,Tie: O'Brien/Williams,1,,0,1,2,,5,1,4,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35,11,3511,35-11,,0,Tie: Oh & Tracy/Oh & Wolfe,1,,,2,2,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
35,12,3512,35-12,Oh,1,Tie: Tracy & O'Brien/O'Brien & Wolfe,1,1,1,2,3,1,4,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
35,13,3513,35-13,Oh,2,,0,,2,,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,14,3514,35-14,Tie: O'Brien/Tinney/Wolfe,1,,0,,3,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
35,15,3515,35-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,16,3516,35-16,,0,,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,17,3517,35-17,Wolfe,1,,0,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
35,18,3518,35-18,,0,O'Brien & Taubenberger,1,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
35,19,3519,35-19,,0,Oh & Tracy,1,1,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
35,20,3520,35-20,Tinney,1,Tinney & Wolfe,2,1,1,3,2,1,6,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,
35,21,3521,35-21,Tie: Oh/Taubenberger,1,,0,1,2,,2,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22,3522,35-22,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,23,3523,35-23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,24,3524,35-24,,0,Oh & O'Brien,1,,,1,2,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
35,25,3525,35-25,Taubenberger,1,,0,4,1,,2,1,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
35,26,3526,35-26,,0,,0,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,27,3527,35-27,Oh,1,,0,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,28,3528,35-28,Oh,1,,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,29,3529,35-29,Williams,1,,0,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35,30,3530,35-30,Oh,3,Williams & Taubenberger,1,,4,1,2,,1,3,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
35,31,3531,35-31,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,32,3532,35-32,Oh,2,Tie: Oh & O'Brien/O'Brien & Taubenberger/Taubenberger & Wolfe,1,5,4,3,6,3,5,2,,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,
36,1,3601,36-1,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,3602,36-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3,3603,36-3,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,3604,36-4,Wolfe,1,,0,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,3605,36-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,3606,36-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7,3607,36-7,Oh,1,,0,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,3608,36-8,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36,9,3609,36-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,3610,36-10,Oh,2,,0,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,11,3611,36-11,,0,Oh & Taubenberger,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
36,12,3612,36-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,13,3613,36-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,14,3614,36-14,Wolfe,2,Tie: Williams & Tracy/Tinney & Taubenberger,1,,3,2,1,2,1,1,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,
36,15,3615,36-15,,0,,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16,3616,36-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,17,3617,36-17,Oh,1,,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,18,3618,36-18,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,19,3619,36-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20,3620,36-20,O'Brien,1,,0,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,21,3621,36-21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,22,3622,36-22,,0,,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,23,3623,36-23,Tie: Tracy/Williams,1,,0,,2,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36,24,3624,36-24,Tracy,1,,0,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,25,3625,36-25,Tie: Oh/Tracy,1,,0,2,2,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,26,3626,36-26,Williams,1,,0,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36,27,3627,36-27,Tie: Oh/Tracy,2,O'Brien & Wolfe,1,2,4,1,1,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
36,28,3628,36-28,,0,Oh & O'Brien,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
36,29,3629,36-29,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,30,3630,36-30,,0,,0,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,31,3631,36-31,Oh,2,,0,1,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,32,3632,36-32,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,33,3633,36-33,Oh,1,Tie: Tinney & Wolfe/O'Brien & Wolfe,1,1,1,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
36,34,3634,36-34,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35,3635,36-35,Tie: Oh/Wolfe,1,Taubenberger & Wolfe,1,2,2,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
36,36,3636,36-36,,0,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,3637,36-37,Tie: Oh/Tinney,1,Oh & Williams,1,2,2,1,2,1,3,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
36,38,3638,36-38,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,39,3639,36-39,,0,Oh & Tracy,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
36,40,3640,36-40,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,41,3641,36-41,,0,,0,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3701,37-1,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,3702,37-2,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,3703,37-3,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,3704,37-4,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,3705,37-5,,0,Oh & Taubenberger,1,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
37,6,3706,37-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,3707,37-7,,0,Tinney & O'Brien,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
37,8,3708,37-8,,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9,3709,37-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10,3710,37-10,Tracy,1,,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,3711,37-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,3712,37-12,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,13,3713,37-13,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,14,3714,37-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15,3715,37-15,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,16,3716,37-16,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,17,3717,37-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,18,3718,37-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,19,3719,37-19,,0,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,3720,37-20,,0,,0,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,21,3721,37-21,Tie: Wolfe/Williams,1,,0,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
38,1,3801,38-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,3802,38-2,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3,3803,38-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,3804,38-4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,3805,38-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6,3806,38-6,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7,3807,38-7,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8,3808,38-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,3809,38-9,Tie: Tracy/Wolfe,1,,0,1,2,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,3810,38-10,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,11,3811,38-11,,0,Tie: Tracy & Wolfe/Taubenberger & Wolfe,2,,,4,1,1,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,
38,12,3812,38-12,Oh,2,Tie: Oh & Tracy/Tinney & Wolfe,1,2,3,2,1,1,3,2,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,
38,13,3813,38-13,Oh,2,Tracy & Tinney,2,,2,3,6,,4,2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
38,14,3814,38-14,Tie: Oh/Wolfe,1,Williams & Tinney,1,1,2,1,4,,3,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
38,15,3815,38-15,Williams,1,,0,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
38,16,3816,38-16,Wolfe,2,Oh & Williams,1,2,2,1,1,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,
38,17,3817,38-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,18,3818,38-18,Tie: O'Brien/Tinney/Taubenberger,1,Tinney & O'Brien,1,2,3,1,2,,4,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
38,19,3819,38-19,Wolfe,1,,0,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
38,20,3820,38-20,Tie: Oh/Tinney,1,Tracy & Wolfe,1,2,2,1,2,,6,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38,21,3821,38-21,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,3901,39-1,Oh,2,O'Brien & Taubenberger,1,1,4,1,1,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
39,2,3902,39-2,Wolfe,1,Oh & O'Brien,3,,1,3,,,2,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,
39,3,3903,39-3,Tie: Oh/Wolfe/Williams,1,,0,1,3,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
39,4,3904,39-4,Tie: Tracy/Wolfe,1,,0,2,2,,4,1,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,3905,39-5,Oh,4,,0,1,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,3906,39-6,O'Brien,1,Tracy & O'Brien,1,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,7,3907,39-7,Tracy,3,Tinney & O'Brien,1,1,3,1,2,1,3,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
39,8,3908,39-8,Oh,2,Oh & O'Brien,1,1,2,1,1,,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
39,9,3909,39-9,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,3910,39-10,Tinney,1,,0,2,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11,3911,39-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12,3912,39-12,Tie: O'Brien/Wolfe,1,Williams & Tracy,1,1,2,1,5,,3,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
39,13,3913,39-13,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,14,3914,39-14,Oh,5,Tie: Oh & O'Brien/Oh & Tracy/Tinney & Taubenberger,1,5,9,3,8,5,8,5,,1,,1,2,,,1,1,,,,,,,,,,,,,,,1,,,,,,
39,15,3915,39-15,Oh,4,Tracy & Tinney,1,2,5,1,1,,2,4,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
39,16,3916,39-16,Oh,1,,0,1,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17,3917,39-17,,0,Tracy & Tinney,1,1,,1,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
39,18,3918,39-18,Oh,3,Oh & Wolfe,1,2,7,1,1,2,2,3,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
39,19,3919,39-19,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,3920,39-20,,0,,0,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,21,3921,39-21,,0,,0,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,22,3922,39-22,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,23,3923,39-23,Tie: Tracy/Taubenberger,1,Williams & O'Brien,1,1,2,1,1,,4,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
39,24,3924,39-24,Oh,2,,0,3,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,25,3925,39-25,Tie: Oh/Wolfe,1,Tie: Oh & Tinney/O'Brien & Taubenberger,1,2,2,2,1,,3,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,
39,26,3926,39-26,Oh,2,Tinney & Wolfe,1,3,3,1,5,1,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
39,27,3927,39-27,Tinney,1,,0,,1,,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,28,3928,39-28,Oh,1,,0,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29,3929,39-29,Tie: Oh/Tinney,1,Tracy & O'Brien,1,1,2,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,30,3930,39-30,O'Brien,1,Tracy & Wolfe,1,,1,1,2,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
39,31,3931,39-31,Tracy,2,Tracy & Wolfe,1,,4,1,14,,3,,,2,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
39,32,3932,39-32,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,33,3933,39-33,Tie: Oh/Tinney/Wolfe,1,Tinney & O'Brien,1,4,3,1,3,1,2,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
39,34,3934,39-34,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35,3935,39-35,O'Brien,2,Tie: Tinney & Wolfe/O'Brien & Taubenberger,1,1,4,2,,1,2,1,2,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
39,36,3936,39-36,Tracy,2,Tie: Oh & Tracy/Oh & Taubenberger,1,2,3,2,3,,,1,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
39,37,3937,39-37,Tracy,2,Oh & Taubenberger,1,2,2,1,5,,4,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
39,38,3938,39-38,Oh,2,Tie: Tracy & Tinney/Tracy & Taubenberger,1,1,3,2,,,2,2,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
39,39,3939,39-39,Oh,2,Oh & Tinney,1,,2,1,2,,5,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
39,40,3940,39-40,Tie: Oh/Williams,1,,0,2,2,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
39,41,3941,39-41,Tie: Oh/Tinney,1,Tie: Oh & Taubenberger/Oh & Williams/Williams & Tinney,1,5,2,3,6,1,3,1,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
39,42,3942,39-42,Oh,3,Tie: Oh & Taubenberger/Tinney & O'Brien/O'Brien & Wolfe/Taubenberger & Wolfe,1,2,6,4,2,,6,3,,2,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,
39,43,3943,39-43,Oh,4,Tinney & O'Brien,1,1,4,1,2,,6,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
39,44,3944,39-44,Tie: Oh/Tinney,1,,0,,2,,3,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,45,3945,39-45,Tie: Oh/Taubenberger,1,Oh & O'Brien,1,2,2,1,3,2,2,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
39,46,3946,39-46,Oh,3,Tie: Oh & O'Brien/Tracy & Tinney/Tracy & Taubenberger,1,5,7,3,3,3,7,3,1,1,,,2,,,1,,,,,,,,,,,1,,1,,,,,,,,,
40,01,4001,40-01,Tinney,1,,0,1,1,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,4002,40-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,03,4003,40-03,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,04,4004,40-04,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,05,4005,40-05,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,06,4006,40-06,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,07,4007,40-07,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,08,4008,40-08,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,09,4009,40-09,,0,,0,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,4010,40-10,O'Brien,1,,0,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,4011,40-11,Oh,2,,0,1,4,,,1,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
40,12,4012,40-12,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13,4013,40-13,,0,Oh & O'Brien,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40,14,4014,40-14,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,15,4015,40-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16,4016,40-16,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,17,4017,40-17,Tie: Oh/Wolfe,1,,0,1,2,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
40,18,4018,40-18,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,19,4019,40-19,Williams,2,,0,3,3,,2,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
40,20,4020,40-20,Tie: Oh/Tinney,1,Oh & Wolfe,1,,2,1,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
40,21,4021,40-21,Tie: Tracy/Wolfe,1,,0,1,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
40,22,4022,40-22,,0,,0,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,23,4023,40-23,Tinney,1,,0,1,1,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,24,4024,40-24,,0,,0,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,25,4025,40-25,Tracy,1,,0,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,26,4026,40-26,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,27,4027,40-27,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,28,4028,40-28,Oh,1,,0,,1,,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,29,4029,40-29,Oh,1,,0,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,30,4030,40-30,Williams,1,,0,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
40,31,4031,40-31,Tracy,1,,0,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,32,4032,40-32,,0,Oh & Williams,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40,33,4033,40-33,Tie: Wolfe/Williams,1,,0,,2,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40,34,4034,40-34,,0,Williams & Tracy,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
