,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
7-10,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-12,2,3,2,2,0,3,1,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
7-13,0,0,1,0,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7-14,0,1,0,2,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-16,1,2,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-17,0,1,1,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-19,1,1,0,1,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-20,0,2,2,1,0,2,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
7-21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-22,0,3,0,1,0,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7-23,0,1,0,0,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-1,1,0,2,4,1,4,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
8-2,1,0,3,4,0,4,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,
8-3,1,3,2,6,0,5,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,,
