,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
43-22,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-23,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-25,1,2,0,0,0,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-2,0,1,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-3,0,0,1,0,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
44-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-5,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
44-6,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-7,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44-8,0,0,1,0,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
44-9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-10,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-12,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-13,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
44-14,0,2,0,0,0,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
44-15,0,0,1,1,0,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
44-16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-17,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-18,0,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
44-19,2,0,1,0,0,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-1,2,5,6,13,5,13,2,,1,1,,1,,,1,1,,1,,1,1,,,,,,,,1,,,,,,,,
45-2,5,5,0,8,1,6,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
45-3,5,13,15,57,3,21,3,,3,3,1,2,1,,,1,2,1,2,,1,,,,,6,1,,,,,1,,,,,
45-4,5,7,9,15,3,14,3,1,1,2,,,,,3,1,4,,,,,,,,,,1,,,,,,,,,,
45-5,4,10,7,11,2,6,5,,1,1,,3,,,,1,2,,1,,1,,,,,,,,,1,,1,,,,,
45-6,3,8,4,3,0,8,5,,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,,
45-7,2,6,3,9,0,9,3,1,,,,1,1,,,,1,,,,,1,,,,,,,,,,,1,,,,
45-8,4,1,0,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-9,0,0,3,0,0,3,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,
45-10,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-11,1,1,0,2,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-12,0,1,0,3,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-13,1,2,1,1,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
45-14,0,1,2,1,0,2,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,
45-15,3,4,2,7,2,7,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,
45-16,0,2,2,0,0,3,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
45-17,0,6,2,1,1,2,1,1,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
45-18,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-19,0,3,1,2,0,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
45-20,4,8,11,16,2,13,3,3,,1,,,1,,1,3,,,,,,,,1,,,,,,2,,1,3,,,,
45-21,1,1,1,0,1,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
45-22,4,6,10,5,1,8,3,,1,1,,,1,,1,3,2,,,1,,,,,1,,1,,1,,,,,,,,
45-23,5,6,3,8,3,10,1,,2,,,2,1,,1,1,,,1,,,,,,,,,,,,,,,,,,
45-24,6,16,9,12,2,15,9,1,2,,1,1,2,,1,3,,,,1,,,,,,2,,,,,1,,,,1,,
45-25,6,8,1,11,3,8,3,1,2,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-1,1,1,0,0,0,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
46-2,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-3,0,2,0,0,0,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
46-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-5,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
46-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-7,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-8,0,1,1,1,0,0,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
46-9,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-11,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-13,1,1,1,0,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
46-14,0,1,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
46-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-16,0,3,2,1,1,4,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,1,,
46-17,0,4,0,2,0,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
46-18,0,0,2,0,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
46-19,0,2,0,3,0,6,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
46-20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-21,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-22,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-23,0,0,3,1,1,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-1,0,1,0,1,0,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
47-2,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-3,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
47-4,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-5,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-8,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-10,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-12,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-14,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
48-2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-3,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-4,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
48-5,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
48-6,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
48-7,1,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-8,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-9,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-10,,3,1,1,1,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,
48-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-12,2,3,1,1,,4,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
48-13,2,3,3,,3,2,3,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,
48-14,4,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
48-15,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
48-16,3,2,1,2,,3,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,
48-17,1,4,,1,,2,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
48-18,1,4,1,,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,
48-19,2,3,2,3,1,3,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
48-20,2,6,4,1,,1,3,1,,,,1,1,,,,1,,,1,,,,,,1,,,,,,1,,,,,
48-21,4,2,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
48-22,1,4,2,2,2,3,,,2,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,
48-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-1,0,1,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-2,0,8,1,0,0,0,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
49-3,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-6,0,2,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,
49-7,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-9,2,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-10,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-11,0,1,0,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
49-12,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-15,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-18,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-21,1,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-22,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-2,0,1,1,0,0,0,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
50-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-5,0,0,2,2,0,0,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
50-6,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-8,0,1,1,1,0,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
50-9,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
50-10,0,1,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
50-11,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-12,1,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-13,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
50-14,0,1,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-15,0,1,0,0,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
50-16,1,1,0,1,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
50-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-18,0,2,0,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
50-19,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-20,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-21,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-22,0,1,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
50-23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-26,0,1,0,1,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-27,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-30,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-2,1,1,3,,,1,1,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,
51-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-4,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-5,,1,1,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
51-6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-8,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-10,1,2,1,,1,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
51-11,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-12,,2,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
51-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
51-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-17,2,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-19,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-22,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-23,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-24,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-26,,1,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
51-27,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-2,2,1,1,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
52-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-4,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-5,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-6,0,3,0,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-7,1,2,4,1,1,1,2,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,
52-8,2,1,1,0,0,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
52-9,2,3,2,2,0,5,1,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,
52-10,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-11,0,2,0,2,1,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52-12,0,6,1,3,0,4,1,4,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
52-13,2,1,0,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52-14,1,2,0,1,0,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
52-15,0,1,0,2,0,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52-16,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-18,0,3,0,0,1,0,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
52-19,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-20,1,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-21,3,2,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
52-22,0,0,1,0,0,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
52-23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-24,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-25,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52-26,1,1,0,1,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52-27,0,2,0,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52-28,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-1,1,3,0,0,1,0,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
53-2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-3,1,2,1,2,0,2,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
53-4,1,2,2,0,1,4,,,,1,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,
53-5,0,3,2,1,0,1,1,,,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,
53-6,3,4,0,1,0,2,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
53-7,1,2,0,5,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
53-8,2,5,0,2,2,3,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
53-9,0,2,1,2,1,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,
53-10,1,2,1,2,0,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
53-11,0,3,1,3,2,2,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,
53-12,0,5,1,5,2,3,3,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,
53-13,0,2,0,1,2,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-14,1,2,1,8,0,4,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
53-15,1,5,4,2,2,14,,,1,,4,,,,,,,1,,,,,,,,,,,,,,,2,,1,,
53-16,0,2,3,3,1,12,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
53-17,1,4,1,3,1,5,3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
53-18,1,0,3,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,
53-19,1,0,3,5,1,3,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,
53-20,1,13,3,3,1,6,,,,1,12,,,,,,,,,,,,,,,,,1,,,,,2,,,,
53-21,2,37,10,5,3,6,2,,4,1,29,,1,,,,,1,,,,,,,,,,3,1,,1,,2,,2,,
53-22,0,3,4,2,0,3,,,1,,1,,1,,,,,,,,2,,,,,,,,,,,1,1,,,,
53-23,0,1,1,1,0,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-1,0,1,1,0,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
54-2,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-3,0,1,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
54-4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-5,2,2,0,0,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-6,1,1,1,1,1,0,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
54-7,1,2,1,0,0,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,
54-8,1,1,0,2,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
54-9,2,2,1,2,0,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
54-10,0,5,2,1,1,4,2,,1,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
54-11,0,1,0,1,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
54-12,0,2,0,2,0,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
54-13,0,1,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-14,0,3,0,0,0,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
54-15,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-16,0,0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-18,0,1,1,1,0,5,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
54-19,0,1,2,0,0,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
54-20,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-21,0,2,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-22,1,1,2,0,1,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-1,3,0,3,6,4,11,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,
55-2,2,2,1,4,3,5,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
55-3,3,5,0,3,3,5,1,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
55-4,0,1,0,3,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-5,2,5,2,3,0,1,2,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
55-6,1,7,4,5,4,7,2,1,1,2,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,
55-7,3,6,8,2,1,4,2,1,,2,1,,,,1,,,,,1,,,1,,,,,,2,3,,,,,,,
55-8,3,3,6,9,2,9,1,,,1,,,1,,1,1,,,,1,,,,,,,,1,1,1,,,,,,,
55-9,0,4,2,4,2,8,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,
55-10,0,4,1,3,0,3,1,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,
55-11,2,7,5,8,2,15,3,,,3,1,,,,,1,,1,,,,,1,,,,,,,,1,1,,,,,
55-12,0,16,12,9,1,4,1,2,,10,1,,2,,1,,1,,,,,,,,,,,,,,,7,1,,2,,
55-13,3,4,3,2,6,11,1,,,2,1,,,,,,,1,,,,,,,,,1,,,,,1,,,,,
